nome,data_nascimento,altura,posicao,id_time
Willian André,1955-01-17,1.61,lateral-direito,2
Victor Samuel,2001-05-26,2.06,meio-campista,1
Carlos Samuel,2004-01-16,1.93,meio-campista,5
Bruno Willian,1964-05-15,1.83,zagueiro,12
Igor Nathan,2011-08-12,1.96,meio-campista,10
Gustavo Victor,1958-09-23,1.68,zagueiro,16
Rafael André,1998-04-22,1.73,zagueiro,9
Thiago Rafael,1953-05-26,2.05,lateral-direito,8
Marcelo Eduardo,1987-09-18,1.98,goleiro,14
Diego Rafael,1996-07-19,1.85,lateral-direito,7
Willian Paulo,1969-12-21,1.75,lateral-esquerdo,13
Samuel Eduardo,1980-12-06,1.89,lateral-direito,19
Otávio Rafael,1996-03-16,1.93,volante,18
Eduardo Samuel,1960-12-09,2.05,atacante,2
Paulo Bruno,1966-02-02,1.91,lateral-esquerdo,17
Otávio Rafael,1998-02-12,1.86,meio-campista,7
Otávio Thiago,1975-03-09,1.77,volante,18
André Diego,1989-04-20,1.74,zagueiro,17
Thiago Felipe,2017-06-02,1.89,meio-campista,15
André Felipe,1979-06-06,1.96,lateral-direito,16
Diego Lucas,1990-07-26,1.76,lateral-esquerdo,18
Igor João,1984-06-02,1.5,zagueiro,9
Bruno João,2005-10-12,1.8,zagueiro,2
Eduardo Marcelo,1974-07-14,1.99,goleiro,18
Eduardo Nathan,1954-07-13,1.99,meio-campista,12
Marcelo Samuel,2015-08-13,1.89,zagueiro,19
Henrique João,1985-12-08,1.71,atacante,8
Willian Felipe,1970-03-07,1.85,atacante,7
Henrique Samuel,1966-08-17,1.76,lateral-esquerdo,5
Lucas Lucas,1975-05-14,1.74,lateral-direito,20
Lucas Felipe,2016-05-20,1.81,zagueiro,11
Carlos André,2013-06-09,2.04,lateral-direito,17
Samuel Victor,1951-08-05,2.01,goleiro,10
Marcelo Marcelo,1970-11-12,2.03,lateral-esquerdo,12
Rafael Victor,1967-11-13,1.83,goleiro,2
Marcelo Igor,1990-04-25,1.7,atacante,3
Lucas Thiago,1982-03-25,1.87,meio-campista,6
Carlos Willian,1970-11-14,1.97,atacante,10
Lucas Bruno,1976-04-17,1.92,lateral-direito,15
Felipe Bruno,2004-10-10,1.63,atacante,17
Paulo Victor,2011-11-14,1.55,zagueiro,20
Henrique Bruno,1970-04-19,1.73,meio-campista,15
Diego André,1965-04-24,1.97,goleiro,15
João Felipe,1955-05-18,1.69,lateral-direito,1
Marcelo Otávio,1987-07-04,1.68,meio-campista,1
Henrique Samuel,1951-03-19,1.81,meio-campista,7
Diego Felipe,1970-07-17,1.85,goleiro,10
Thiago Rafael,2001-09-20,1.8,lateral-esquerdo,19
Bruno Lucas,1991-10-28,1.73,lateral-direito,5
Felipe Henrique,1961-12-18,1.94,volante,18
Felipe Eduardo,1979-06-01,1.94,lateral-direito,11
Victor Nathan,2007-10-16,1.9,atacante,20
Eduardo Paulo,2016-08-23,1.52,goleiro,9
Marcelo Igor,1985-10-20,2.09,goleiro,19
Victor Rafael,1960-11-13,2.04,meio-campista,13
Rafael Gustavo,1954-01-25,1.86,atacante,19
Marcelo Bruno,1977-08-08,1.89,lateral-direito,10
Thiago Otávio,1961-05-07,2.04,goleiro,15
Felipe Felipe,1989-12-23,1.96,lateral-direito,14
Marcelo Eduardo,1959-07-08,1.58,meio-campista,6
Paulo Marcelo,1992-08-18,1.52,lateral-esquerdo,14
Carlos Otávio,2013-03-17,1.88,zagueiro,4
João Rafael,2018-03-13,1.67,atacante,4
André Henrique,1975-07-21,1.61,atacante,8
Felipe Rafael,1972-04-22,1.72,atacante,6
Lucas Samuel,1958-02-13,2.07,zagueiro,14
Rafael André,2009-02-16,2.03,meio-campista,5
Otávio Felipe,2007-09-27,1.74,lateral-direito,10
Paulo Eduardo,2007-05-17,1.52,volante,1
Bruno Victor,1952-07-08,2.05,lateral-esquerdo,7
Samuel Samuel,1951-07-24,1.99,atacante,16
Bruno Otávio,1977-03-02,1.86,goleiro,2
André Lucas,1967-03-21,1.99,volante,8
Bruno Diego,1983-08-09,1.52,volante,15
Rafael Paulo,1964-02-10,1.9,goleiro,9
Bruno João,2009-11-14,1.88,goleiro,11
Thiago Willian,1963-07-24,1.74,atacante,2
Bruno Paulo,2011-02-02,1.87,volante,4
Thiago Marcelo,1966-11-14,1.97,atacante,10
João Gustavo,1976-07-01,1.94,atacante,7
Rafael Willian,2001-02-23,1.62,goleiro,3
Igor Carlos,1961-01-13,1.68,lateral-direito,1
Henrique Marcelo,1974-10-10,1.96,zagueiro,6
Paulo Felipe,2000-10-14,1.75,volante,4
André Thiago,2018-05-09,2.06,meio-campista,12
Thiago Rafael,1975-05-16,1.84,lateral-direito,9
Nathan Eduardo,1970-09-05,1.81,meio-campista,15
André Rafael,2019-07-24,2.08,meio-campista,4
Diego Igor,1952-10-12,1.83,atacante,4
Willian Otávio,2002-09-22,1.55,meio-campista,4
Igor Willian,1970-07-06,1.9,volante,1
Thiago Nathan,1950-12-18,1.64,meio-campista,11
Felipe Willian,1953-07-14,1.75,volante,9
João João,1956-04-05,1.96,lateral-esquerdo,11
Thiago Nathan,1974-09-23,1.71,goleiro,11
Henrique Paulo,2007-04-02,1.92,lateral-direito,13
Rafael João,1977-09-23,1.71,lateral-esquerdo,12
Eduardo Gustavo,2016-05-16,2.09,lateral-direito,12
Rafael Felipe,1972-03-09,1.76,zagueiro,8
Diego Igor,1967-07-23,2.0,lateral-esquerdo,9
Lucas Gustavo,1963-02-15,1.97,atacante,10
Carlos Otávio,1997-11-03,1.8,atacante,15
Samuel Eduardo,2020-04-09,1.56,zagueiro,2
Henrique Bruno,2012-05-08,1.61,lateral-esquerdo,6
Thiago Henrique,2004-03-20,1.81,atacante,20
Marcelo Rafael,2003-08-21,2.08,atacante,8
Willian Gustavo,1957-08-24,1.84,lateral-esquerdo,7
Diego Lucas,1978-02-01,1.84,lateral-esquerdo,7
Rafael Lucas,1977-04-14,2.0,goleiro,14
Willian Victor,1951-07-22,1.69,lateral-direito,6
Otávio Willian,1978-05-24,2.06,meio-campista,17
Igor Samuel,1956-02-15,2.09,lateral-direito,3
Igor Diego,1987-02-02,1.7,zagueiro,9
Carlos João,1981-10-26,1.59,lateral-esquerdo,20
João Willian,1992-04-17,1.82,lateral-esquerdo,3
Gustavo Rafael,1984-07-23,1.62,zagueiro,20
Eduardo Willian,1962-09-09,1.57,lateral-esquerdo,10
Eduardo Diego,2012-07-02,1.73,lateral-direito,5
Diego Eduardo,2001-02-03,2.03,lateral-esquerdo,6
Otávio Victor,2020-12-21,1.61,goleiro,13
Samuel Rafael,1981-05-23,1.84,goleiro,14
Igor Paulo,1986-04-26,1.64,volante,13
Bruno Bruno,1987-09-17,1.91,meio-campista,6
Bruno Willian,1955-06-27,1.52,volante,14
Thiago Victor,2009-01-05,1.99,volante,11
Paulo João,1979-05-21,1.54,goleiro,5
Rafael Felipe,1993-10-13,1.5,volante,8
Lucas Paulo,2001-01-12,1.67,zagueiro,3
Samuel Nathan,2001-04-18,1.75,zagueiro,10
Rafael André,1953-09-02,2.07,atacante,5
Nathan Lucas,2018-08-20,1.88,zagueiro,1
Nathan Paulo,1990-02-12,1.56,atacante,17
Carlos Eduardo,1967-08-23,1.82,zagueiro,14
Felipe Carlos,2005-02-02,1.62,lateral-esquerdo,1
Rafael João,2011-05-14,1.88,lateral-direito,9
Rafael Paulo,2015-12-05,2.05,atacante,17
Eduardo Samuel,2016-11-18,1.72,volante,6
Eduardo Bruno,1973-09-04,1.74,lateral-direito,8
Eduardo Thiago,1950-07-08,1.5,zagueiro,3
Marcelo Willian,1971-07-18,1.62,goleiro,6
André Willian,1998-08-03,1.68,lateral-esquerdo,8
João Marcelo,1979-02-06,1.54,atacante,12
Felipe Lucas,1973-01-12,1.82,lateral-esquerdo,10
Otávio Bruno,1963-03-08,1.66,atacante,7
Bruno Thiago,2000-05-09,2.09,lateral-direito,13
Diego Thiago,1969-01-02,1.87,goleiro,15
Henrique Samuel,1993-11-05,1.67,zagueiro,16
Lucas Thiago,1993-10-04,2.01,volante,6
Henrique Bruno,2019-05-26,2.08,lateral-direito,11
Bruno João,1983-01-02,2.01,goleiro,8
Gustavo Otávio,2010-10-21,1.9,atacante,4
Paulo Gustavo,1985-08-14,1.87,lateral-esquerdo,13
Thiago Paulo,2006-05-27,1.95,lateral-esquerdo,5
Otávio Samuel,2015-04-03,1.9,zagueiro,6
Willian Thiago,2020-05-08,1.65,meio-campista,13
Paulo Otávio,1965-12-22,1.68,lateral-esquerdo,16
Otávio Gustavo,2016-02-08,1.54,lateral-esquerdo,20
Victor Igor,1984-09-23,2.0,zagueiro,17
Willian Victor,2012-01-11,2.08,volante,9
Paulo Henrique,1998-04-27,1.83,lateral-esquerdo,12
Carlos Paulo,2016-07-28,1.63,lateral-esquerdo,16
Felipe Henrique,1959-06-07,1.82,zagueiro,6
Otávio Felipe,1988-02-04,2.04,zagueiro,2
Nathan Marcelo,1989-04-23,1.77,meio-campista,15
Nathan Diego,1974-02-24,1.78,lateral-direito,6
Samuel Henrique,1961-03-23,1.94,meio-campista,7
Felipe Igor,1960-03-18,1.96,lateral-esquerdo,17
Rafael João,1974-12-15,1.94,meio-campista,15
Bruno João,1982-12-15,2.05,meio-campista,19
Bruno Samuel,1978-08-08,2.06,zagueiro,10
Diego João,2018-12-15,1.59,meio-campista,14
André Paulo,1950-07-25,1.58,goleiro,11
Victor Willian,1983-04-26,1.66,atacante,4
Samuel Lucas,1963-08-21,1.76,atacante,14
Nathan André,2006-12-28,2.04,volante,20
Lucas Igor,2008-06-23,1.54,goleiro,4
Willian Igor,1998-10-17,1.76,lateral-direito,9
Victor Nathan,2010-10-23,1.91,atacante,4
Thiago Igor,1955-08-08,1.6,volante,4
Thiago Lucas,1969-05-07,1.53,lateral-direito,10
Lucas André,1972-02-25,1.82,lateral-direito,20
Henrique Rafael,1966-01-03,1.92,lateral-direito,19
Rafael Otávio,1959-03-26,1.58,goleiro,1
Diego Marcelo,1968-06-07,1.9,lateral-direito,8
Lucas Victor,2009-12-05,2.02,volante,19
João Rafael,2008-09-11,1.84,lateral-esquerdo,15
Carlos Gustavo,2004-04-05,1.64,atacante,8
Lucas Carlos,2007-06-19,2.05,lateral-direito,20
Henrique Bruno,2000-06-27,1.52,lateral-esquerdo,3
Victor Paulo,2011-08-19,1.86,volante,14
Paulo Carlos,1980-07-04,1.58,volante,3
Eduardo Felipe,1954-03-17,2.1,lateral-esquerdo,11
Lucas Victor,1952-09-14,1.69,volante,19
Rafael Willian,1998-04-14,1.96,atacante,4
Otávio Diego,1993-08-01,1.79,lateral-direito,19
Samuel Gustavo,2013-05-28,1.99,atacante,15
André João,1970-10-25,1.74,meio-campista,18
Diego Diego,1990-09-01,1.52,lateral-esquerdo,16
Eduardo João,1977-02-28,1.58,meio-campista,13
Rafael João,1953-04-20,1.58,atacante,10
Igor Marcelo,2006-06-21,1.83,atacante,10
André Eduardo,1972-04-22,1.61,lateral-direito,13
Igor Nathan,1971-10-21,1.68,meio-campista,13
Lucas Igor,1970-10-23,1.63,zagueiro,2
Willian João,2011-01-01,1.86,lateral-direito,13
Marcelo João,1990-10-01,1.88,volante,2
Diego Felipe,2008-08-22,1.65,volante,19
Eduardo Willian,1999-09-16,2.04,volante,5
João Gustavo,1988-07-10,1.67,lateral-esquerdo,4
Carlos Rafael,1953-11-09,1.95,lateral-direito,20
Willian Otávio,1952-07-23,1.68,atacante,5
Eduardo João,1962-12-11,2.0,zagueiro,16
Marcelo André,2013-03-16,1.97,atacante,15
Rafael Willian,1961-11-18,1.6,volante,10
Nathan João,2013-06-10,1.8,atacante,3
Samuel Samuel,2007-08-06,1.89,meio-campista,18
Diego Diego,1999-06-22,1.74,zagueiro,8
Paulo Paulo,1996-07-23,1.85,goleiro,14
Willian Carlos,1966-10-13,2.04,meio-campista,12
Henrique João,1952-12-09,1.8,volante,13
Paulo Bruno,2018-11-16,1.88,lateral-direito,17
Otávio Nathan,2016-08-22,1.93,goleiro,18
Henrique Bruno,1965-03-11,2.0,atacante,8
Felipe Otávio,1988-10-28,2.03,volante,13
Diego Henrique,1977-12-01,1.81,meio-campista,11
Lucas Bruno,2003-08-04,1.74,atacante,12
Paulo Felipe,2020-01-09,1.6,goleiro,14
Bruno Carlos,2015-11-11,2.05,lateral-direito,4
Rafael Thiago,1977-09-03,1.75,volante,10
Igor Igor,2000-10-22,2.03,lateral-esquerdo,19
Samuel André,1965-09-17,1.6,lateral-direito,1
João Samuel,1962-02-25,1.96,lateral-esquerdo,14
Carlos Otávio,1989-06-16,1.76,lateral-esquerdo,8
